"row.names","date","mktrf","smb","hml","rf","year","month","umd","dateff"
"79",1933-01-01,0.0125,0.0069,0.0623,0.0001,1933.0,1.0,-0.015,1933-01-31
"80",1933-02-01,-0.1524,-0.0275,-0.0273,-0.0003,1933.0,2.0,0.0417,1933-02-28
"81",1933-03-01,0.0329,0.039,0.0738,0.0004,1933.0,3.0,0.0221,1933-03-31
"82",1933-04-01,0.3885,0.0456,0.1743,0.001,1933.0,4.0,-0.1595,1933-04-29
"83",1933-05-01,0.2143,0.367,0.1903,0.0004,1933.0,5.0,-0.0391,1933-05-31
"84",1933-06-01,0.1311,0.0856,-0.0205,0.0002,1933.0,6.0,0.0338,1933-06-30
"85",1933-07-01,-0.0963,-0.0101,0.0327,0.0002,1933.0,7.0,0.0039,1933-07-31
"86",1933-08-01,0.1205,-0.0545,0.0296,0.0003,1933.0,8.0,0.0755,1933-08-31
"87",1933-09-01,-0.1065,-0.0032,-0.1177,0.0002,1933.0,9.0,0.0165,1933-09-30
"88",1933-10-01,-0.0836,-0.0008,-0.0846,0.0001,1933.0,10.0,-0.024,1933-10-31
"89",1933-11-01,0.0997,-0.0648,0.0233,0.0002,1933.0,11.0,0.0643,1933-11-29
"90",1933-12-01,0.0183,0.0066,-0.0153,0.0002,1933.0,12.0,0.0406,1933-12-30
"91",1934-01-01,0.126,0.1253,0.1554,0.0005,1934.0,1.0,-0.0337,1934-01-31
"92",1934-02-01,-0.025,0.0519,0.0212,0.0002,1934.0,2.0,-0.0035,1934-02-28
"93",1934-03-01,0.0009,0.0251,-0.0273,0.0002,1934.0,3.0,-0.0069,1934-03-31
"94",1934-04-01,-0.0179,0.028,-0.0375,0.0001,1934.0,4.0,-0.0512,1934-04-30
"95",1934-05-01,-0.0725,-0.0026,-0.0591,0.0001,1934.0,5.0,-0.027,1934-05-31
"96",1934-06-01,0.0264,-0.0214,-0.0292,0.0001,1934.0,6.0,-0.009,1934-06-30
"97",1934-07-01,-0.1096,-0.0692,-0.1064,0.0001,1934.0,7.0,0.0863,1934-07-31
"98",1934-08-01,0.0558,0.0539,0.0045,0.0001,1934.0,8.0,0.0241,1934-08-31
"99",1934-09-01,-0.0023,-0.015,-0.0122,0.0001,1934.0,9.0,0.0003,1934-09-29
